X,CH1,
Second,Volt,
0.00000e+00,0.00e+00,
9.99999e-03,4.00e-02,
2.00000e-02,4.00e-02,
3.00000e-02,0.00e+00,
4.00000e-02,4.00e-02,
5.00000e-02,4.00e-02,
6.00002e-02,4.00e-02,
7.00002e-02,4.00e-02,
8.00002e-02,0.00e+00,
9.00002e-02,0.00e+00,
1.00000e-01,4.00e-02,
1.10000e-01,4.00e-02,
1.20000e-01,4.00e-02,
1.30000e-01,4.00e-02,
1.40000e-01,4.00e-02,
1.50000e-01,4.00e-02,
1.60000e-01,4.00e-02,
1.70000e-01,4.00e-02,
1.80000e-01,4.00e-02,
1.90000e-01,4.00e-02,
2.00000e-01,4.00e-02,
2.10000e-01,4.00e-02,
2.20000e-01,4.00e-02,
2.30000e-01,4.00e-02,
2.40000e-01,4.00e-02,
2.50000e-01,4.00e-02,
2.60000e-01,4.00e-02,
2.70000e-01,4.00e-02,
2.80000e-01,7.99e-02,
2.90000e-01,7.99e-02,
3.00000e-01,7.99e-02,
3.10000e-01,7.99e-02,
3.20000e-01,7.99e-02,
3.30000e-01,7.99e-02,
3.40000e-01,7.99e-02,
3.50000e-01,7.99e-02,
3.60000e-01,7.99e-02,
3.70000e-01,7.99e-02,
3.80000e-01,7.99e-02,
3.90000e-01,7.99e-02,
4.00000e-01,7.99e-02,
4.10000e-01,7.99e-02,
4.20000e-01,1.20e-01,
4.30000e-01,1.20e-01,
4.40000e-01,1.20e-01,
4.50000e-01,1.20e-01,
4.60000e-01,1.20e-01,
4.70000e-01,1.20e-01,
4.80000e-01,1.20e-01,
4.90000e-01,1.20e-01,
5.00000e-01,1.20e-01,
5.10000e-01,1.60e-01,
5.20000e-01,1.60e-01,
5.30000e-01,1.60e-01,
5.40000e-01,1.60e-01,
5.50000e-01,1.60e-01,
5.60000e-01,1.60e-01,
5.70000e-01,1.60e-01,
5.80000e-01,2.00e-01,
5.90000e-01,1.60e-01,
6.00000e-01,2.00e-01,
6.10000e-01,2.00e-01,
6.20000e-01,2.00e-01,
6.30000e-01,2.00e-01,
6.40000e-01,2.00e-01,
6.50000e-01,2.00e-01,
6.60000e-01,2.00e-01,
6.70000e-01,2.40e-01,
6.80000e-01,2.40e-01,
6.90000e-01,2.40e-01,
7.00000e-01,2.40e-01,
7.10000e-01,2.40e-01,
7.20000e-01,2.40e-01,
7.30000e-01,2.80e-01,
7.40000e-01,2.80e-01,
7.50000e-01,2.80e-01,
7.60000e-01,2.80e-01,
7.70000e-01,2.80e-01,
7.80000e-01,3.20e-01,
7.90000e-01,3.20e-01,
8.00000e-01,3.20e-01,
8.10000e-01,3.20e-01,
8.20000e-01,3.20e-01,
8.30000e-01,3.20e-01,
8.40000e-01,3.20e-01,
8.50000e-01,3.20e-01,
8.60000e-01,3.60e-01,
8.70000e-01,3.60e-01,
8.80000e-01,3.60e-01,
8.90000e-01,3.60e-01,
9.00000e-01,3.60e-01,
9.10000e-01,4.00e-01,
9.20000e-01,4.00e-01,
9.30000e-01,4.00e-01,
9.40000e-01,4.00e-01,
9.50000e-01,4.00e-01,
9.60000e-01,4.40e-01,
9.70000e-01,4.40e-01,
9.80000e-01,4.40e-01,
9.90000e-01,4.40e-01,
1.00000e+00,4.80e-01,
1.01000e+00,4.80e-01,
1.02000e+00,4.80e-01,
1.03000e+00,4.80e-01,
1.04000e+00,5.20e-01,
1.05000e+00,5.20e-01,
1.06000e+00,5.20e-01,
1.07000e+00,5.20e-01,
1.08000e+00,5.20e-01,
1.09000e+00,5.20e-01,
1.10000e+00,5.20e-01,
1.11000e+00,5.60e-01,
1.12000e+00,5.60e-01,
1.13000e+00,5.60e-01,
1.14000e+00,5.60e-01,
1.15000e+00,5.60e-01,
1.16000e+00,6.00e-01,
1.17000e+00,6.00e-01,
1.18000e+00,6.00e-01,
1.19000e+00,6.40e-01,
1.20000e+00,6.40e-01,
1.21000e+00,6.40e-01,
1.22000e+00,6.40e-01,
1.23000e+00,6.40e-01,
1.24000e+00,6.80e-01,
1.25000e+00,6.80e-01,
1.26000e+00,6.80e-01,
1.27000e+00,6.80e-01,
1.28000e+00,7.20e-01,
1.29000e+00,7.20e-01,
1.30000e+00,7.20e-01,
1.31000e+00,7.60e-01,
1.32000e+00,7.60e-01,
1.33000e+00,7.60e-01,
1.34000e+00,7.60e-01,
1.35000e+00,8.00e-01,
1.36000e+00,8.00e-01,
1.37000e+00,8.00e-01,
1.38000e+00,8.00e-01,
1.39000e+00,8.00e-01,
1.40000e+00,8.40e-01,
1.41000e+00,8.40e-01,
1.42000e+00,8.40e-01,
1.43000e+00,8.40e-01,
1.44000e+00,8.80e-01,
1.45000e+00,8.80e-01,
1.46000e+00,8.80e-01,
1.47000e+00,9.20e-01,
1.48000e+00,9.20e-01,
1.49000e+00,9.20e-01,
1.50000e+00,9.60e-01,
1.51000e+00,9.60e-01,
1.52000e+00,9.60e-01,
1.53000e+00,1.00e+00,
1.54000e+00,1.00e+00,
1.55000e+00,1.00e+00,
1.56000e+00,1.00e+00,
1.57000e+00,1.04e+00,
1.58000e+00,1.04e+00,
1.59000e+00,1.04e+00,
1.60000e+00,1.04e+00,
1.61000e+00,1.08e+00,
1.62000e+00,1.08e+00,
1.63000e+00,1.08e+00,
1.64000e+00,1.12e+00,
1.65000e+00,1.12e+00,
1.66000e+00,1.12e+00,
1.67000e+00,1.12e+00,
1.68000e+00,1.16e+00,
1.69000e+00,1.16e+00,
1.70000e+00,1.16e+00,
1.71000e+00,1.20e+00,
1.72000e+00,1.20e+00,
1.73000e+00,1.20e+00,
1.74000e+00,1.24e+00,
1.75000e+00,1.24e+00,
1.76000e+00,1.24e+00,
1.77000e+00,1.24e+00,
1.78000e+00,1.28e+00,
1.79000e+00,1.28e+00,
1.80000e+00,1.28e+00,
1.81000e+00,1.32e+00,
1.82000e+00,1.32e+00,
1.83000e+00,1.32e+00,
1.84000e+00,1.32e+00,
1.85000e+00,1.36e+00,
1.86000e+00,1.36e+00,
1.87000e+00,1.36e+00,
1.88000e+00,1.40e+00,
1.89000e+00,1.40e+00,
1.90000e+00,1.44e+00,
1.91000e+00,1.44e+00,
1.92000e+00,1.44e+00,
1.93000e+00,1.44e+00,
1.94000e+00,1.48e+00,
1.95000e+00,1.48e+00,
1.96000e+00,1.48e+00,
1.97000e+00,1.52e+00,
1.98000e+00,1.52e+00,
1.99000e+00,1.56e+00,
2.00000e+00,1.56e+00,
2.01000e+00,1.56e+00,
2.02000e+00,1.60e+00,
2.03000e+00,1.60e+00,
2.04000e+00,1.60e+00,
2.05000e+00,1.64e+00,
2.06000e+00,1.64e+00,
2.07000e+00,1.64e+00,
2.08000e+00,1.68e+00,
2.09000e+00,1.68e+00,
2.10000e+00,1.68e+00,
2.11000e+00,1.72e+00,
2.12000e+00,1.72e+00,
2.13000e+00,1.72e+00,
2.14000e+00,1.76e+00,
2.15000e+00,1.76e+00,
2.16000e+00,1.76e+00,
2.17000e+00,1.80e+00,
2.18000e+00,1.80e+00,
2.19000e+00,1.80e+00,
2.20000e+00,1.84e+00,
2.21000e+00,1.84e+00,
2.22000e+00,1.88e+00,
2.23000e+00,1.88e+00,
2.24000e+00,1.88e+00,
2.25000e+00,1.92e+00,
2.26000e+00,1.92e+00,
2.27000e+00,1.92e+00,
2.28000e+00,1.96e+00,
2.29000e+00,1.96e+00,
2.30000e+00,2.00e+00,
2.31000e+00,2.00e+00,
2.32000e+00,2.00e+00,
2.33000e+00,2.04e+00,
2.34000e+00,2.04e+00,
2.35000e+00,2.08e+00,
2.36000e+00,2.08e+00,
2.37000e+00,2.08e+00,
2.38000e+00,2.08e+00,
2.39000e+00,2.12e+00,
2.40000e+00,2.12e+00,
2.41000e+00,2.12e+00,
2.42000e+00,2.16e+00,
2.43000e+00,2.16e+00,
2.44000e+00,2.20e+00,
2.45000e+00,2.20e+00,
2.46000e+00,2.24e+00,
2.47000e+00,2.24e+00,
2.48000e+00,2.24e+00,
2.49000e+00,2.28e+00,
2.50000e+00,2.28e+00,
2.51000e+00,2.28e+00,
2.52000e+00,2.32e+00,
2.53000e+00,2.32e+00,
2.54000e+00,2.36e+00,
2.55000e+00,2.36e+00,
2.56000e+00,2.40e+00,
2.57000e+00,2.40e+00,
2.58000e+00,2.40e+00,
2.59000e+00,2.44e+00,
2.60000e+00,2.44e+00,
2.61000e+00,2.44e+00,
2.62000e+00,2.48e+00,
2.63000e+00,2.48e+00,
2.64000e+00,2.52e+00,
2.65000e+00,2.52e+00,
2.66000e+00,2.56e+00,
2.67000e+00,2.56e+00,
2.68000e+00,2.56e+00,
2.69000e+00,2.60e+00,
2.70000e+00,2.60e+00,
2.71000e+00,2.60e+00,
2.72000e+00,2.64e+00,
2.73000e+00,2.64e+00,
2.74000e+00,2.68e+00,
2.75000e+00,2.68e+00,
2.76000e+00,2.72e+00,
2.77000e+00,2.72e+00,
2.78000e+00,2.72e+00,
2.79000e+00,2.76e+00,
2.80000e+00,2.76e+00,
2.81000e+00,2.80e+00,
2.82000e+00,2.80e+00,
2.83000e+00,2.84e+00,
2.84000e+00,2.84e+00,
2.85000e+00,2.88e+00,
2.86000e+00,2.88e+00,
2.87000e+00,2.88e+00,
2.88000e+00,2.92e+00,
2.89000e+00,2.92e+00,
2.90000e+00,2.92e+00,
2.91000e+00,2.96e+00,
2.92000e+00,2.96e+00,
2.93000e+00,2.96e+00,
2.94000e+00,3.00e+00,
2.95000e+00,3.00e+00,
2.96000e+00,3.00e+00,
2.97000e+00,3.04e+00,
2.98000e+00,3.04e+00,
2.99000e+00,3.04e+00,
3.00000e+00,3.08e+00,
3.01000e+00,3.08e+00,
3.02000e+00,3.12e+00,
3.03000e+00,3.12e+00,
3.04000e+00,3.12e+00,
3.05000e+00,3.16e+00,
3.06000e+00,3.16e+00,
3.07000e+00,3.20e+00,
3.08000e+00,3.20e+00,
3.09000e+00,3.24e+00,
3.10000e+00,3.24e+00,
3.11000e+00,3.28e+00,
3.12000e+00,3.28e+00,
3.13000e+00,3.32e+00,
3.14000e+00,3.32e+00,
3.15000e+00,3.36e+00,
3.16000e+00,3.36e+00,
3.17000e+00,3.36e+00,
3.18000e+00,3.40e+00,
3.19000e+00,3.40e+00,
3.20000e+00,3.44e+00,
3.21000e+00,3.44e+00,
3.22000e+00,3.48e+00,
3.23000e+00,3.48e+00,
3.24000e+00,3.52e+00,
3.25000e+00,3.52e+00,
3.26000e+00,3.52e+00,
3.27000e+00,3.56e+00,
3.28000e+00,3.56e+00,
3.29000e+00,3.60e+00,
3.30000e+00,3.60e+00,
3.31000e+00,3.64e+00,
3.32000e+00,3.64e+00,
3.33000e+00,3.68e+00,
3.34000e+00,3.68e+00,
3.35000e+00,3.68e+00,
3.36000e+00,3.72e+00,
3.37000e+00,3.72e+00,
3.38000e+00,3.76e+00,
3.39000e+00,3.76e+00,
3.40000e+00,3.80e+00,
3.41000e+00,3.80e+00,
3.42000e+00,3.80e+00,
3.43000e+00,3.84e+00,
3.44000e+00,3.84e+00,
3.45000e+00,3.88e+00,
3.46000e+00,3.88e+00,
3.47000e+00,3.92e+00,
3.48000e+00,3.92e+00,
3.49000e+00,3.96e+00,
3.50000e+00,3.96e+00,
3.51000e+00,4.00e+00,
3.52000e+00,4.00e+00,
3.53000e+00,4.00e+00,
3.54000e+00,4.04e+00,
3.55000e+00,4.08e+00,
3.56000e+00,4.08e+00,
3.57000e+00,4.12e+00,
3.58000e+00,4.12e+00,
3.59000e+00,4.16e+00,
3.60000e+00,4.16e+00,
3.61000e+00,4.16e+00,
3.62000e+00,4.20e+00,
3.63000e+00,4.20e+00,
3.64000e+00,4.24e+00,
3.65000e+00,4.24e+00,
3.66000e+00,4.28e+00,
3.67000e+00,4.28e+00,
3.68000e+00,4.32e+00,
3.69000e+00,4.32e+00,
3.70000e+00,4.32e+00,
3.71000e+00,4.36e+00,
3.72000e+00,4.40e+00,
3.73000e+00,4.40e+00,
3.74000e+00,4.44e+00,
3.75000e+00,4.44e+00,
3.76000e+00,4.44e+00,
3.77000e+00,4.48e+00,
3.78000e+00,4.48e+00,
3.79000e+00,4.52e+00,
3.80000e+00,4.52e+00,
3.81000e+00,4.56e+00,
3.82000e+00,4.60e+00,
3.83000e+00,4.60e+00,
3.84000e+00,4.60e+00,
3.85000e+00,4.64e+00,
3.86000e+00,4.64e+00,
3.87000e+00,4.68e+00,
3.88000e+00,4.68e+00,
3.89000e+00,4.72e+00,
3.90000e+00,4.72e+00,
3.91000e+00,4.76e+00,
3.92000e+00,4.76e+00,
3.93000e+00,4.80e+00,
3.94000e+00,4.80e+00,
3.95000e+00,4.84e+00,
3.96000e+00,4.84e+00,
3.97000e+00,4.88e+00,
3.98000e+00,4.88e+00,
3.99000e+00,4.92e+00,
4.00000e+00,4.92e+00,
4.01000e+00,4.96e+00,
4.02000e+00,4.96e+00,
4.03000e+00,5.00e+00,
4.04000e+00,5.00e+00,
4.05000e+00,5.04e+00,
4.06000e+00,5.04e+00,
4.07000e+00,5.08e+00,
4.08000e+00,5.12e+00,
4.09000e+00,5.12e+00,
4.10000e+00,5.12e+00,
4.11000e+00,5.12e+00,
4.12000e+00,5.16e+00,
4.13000e+00,5.20e+00,
4.14000e+00,5.20e+00,
4.15000e+00,5.24e+00,
4.16000e+00,5.24e+00,
4.17000e+00,5.28e+00,
4.18000e+00,5.28e+00,
4.19000e+00,5.28e+00,
4.20000e+00,5.32e+00,
4.21000e+00,5.36e+00,
4.22000e+00,5.40e+00,
4.23000e+00,5.40e+00,
4.24000e+00,5.40e+00,
4.25000e+00,5.44e+00,
4.26000e+00,5.44e+00,
4.27000e+00,5.48e+00,
4.28000e+00,5.48e+00,
4.29000e+00,5.52e+00,
4.30000e+00,5.56e+00,
4.31000e+00,5.56e+00,
4.32000e+00,5.60e+00,
4.33000e+00,5.60e+00,
4.34000e+00,5.60e+00,
4.35000e+00,5.64e+00,
4.36000e+00,5.64e+00,
4.37000e+00,5.68e+00,
4.38000e+00,5.68e+00,
4.39000e+00,5.72e+00,
4.40000e+00,5.72e+00,
4.41000e+00,5.76e+00,
4.42000e+00,5.76e+00,
4.43000e+00,5.80e+00,
4.44000e+00,5.80e+00,
4.45000e+00,5.84e+00,
4.46000e+00,5.88e+00,
4.47000e+00,5.88e+00,
4.48000e+00,5.88e+00,
4.49000e+00,5.92e+00,
4.50000e+00,5.96e+00,
4.51000e+00,5.96e+00,
4.52000e+00,6.00e+00,
4.53000e+00,6.00e+00,
4.54000e+00,6.04e+00,
4.55000e+00,6.04e+00,
4.56000e+00,6.08e+00,
4.57000e+00,6.08e+00,
4.58000e+00,6.12e+00,
4.59000e+00,6.12e+00,
4.60000e+00,6.16e+00,
4.61000e+00,6.20e+00,
4.62000e+00,6.20e+00,
4.63000e+00,6.20e+00,
4.64000e+00,6.24e+00,
4.65000e+00,6.24e+00,
4.66000e+00,6.28e+00,
4.67000e+00,6.32e+00,
4.68000e+00,6.32e+00,
4.69000e+00,6.36e+00,
4.70000e+00,6.36e+00,
4.71000e+00,6.40e+00,
4.72000e+00,6.40e+00,
4.73000e+00,6.40e+00,
4.74000e+00,6.44e+00,
4.75000e+00,6.44e+00,
4.76000e+00,6.48e+00,
4.77000e+00,6.52e+00,
4.78000e+00,6.52e+00,
4.79000e+00,6.56e+00,
4.80000e+00,6.56e+00,
4.81000e+00,6.60e+00,
4.82000e+00,6.60e+00,
4.83000e+00,6.64e+00,
4.84000e+00,6.64e+00,
4.85000e+00,6.68e+00,
4.86000e+00,6.68e+00,
4.87000e+00,6.72e+00,
4.88000e+00,6.72e+00,
4.89000e+00,6.76e+00,
4.90000e+00,6.80e+00,
4.91000e+00,6.80e+00,
4.92000e+00,6.84e+00,
4.93000e+00,6.84e+00,
4.94000e+00,6.88e+00,
4.95000e+00,6.88e+00,
4.96000e+00,6.88e+00,
4.97000e+00,6.92e+00,
4.98000e+00,6.96e+00,
4.99000e+00,7.00e+00,
5.00000e+00,7.00e+00,
5.01000e+00,7.00e+00,
5.02000e+00,7.04e+00,
5.03000e+00,7.04e+00,
5.04000e+00,7.08e+00,
5.05000e+00,7.08e+00,
5.06000e+00,7.12e+00,
5.07000e+00,7.16e+00,
5.08000e+00,7.16e+00,
5.09000e+00,7.20e+00,
5.10000e+00,7.20e+00,
5.11000e+00,7.24e+00,
5.12000e+00,7.24e+00,
5.13000e+00,7.28e+00,
5.14000e+00,7.28e+00,
5.15000e+00,7.32e+00,
5.16000e+00,7.32e+00,
5.17000e+00,7.36e+00,
5.18000e+00,7.36e+00,
5.19000e+00,7.40e+00,
5.20000e+00,7.40e+00,
5.21000e+00,7.40e+00,
5.22000e+00,7.40e+00,
5.23000e+00,7.40e+00,
5.24000e+00,7.40e+00,
5.25000e+00,7.40e+00,
5.26000e+00,7.40e+00,
5.27000e+00,7.40e+00,
5.28000e+00,7.40e+00,
5.29000e+00,7.40e+00,
5.30000e+00,7.40e+00,
5.31000e+00,7.40e+00,
5.32000e+00,7.40e+00,
5.33000e+00,7.40e+00,
5.34000e+00,7.40e+00,
5.35000e+00,7.40e+00,
5.36000e+00,7.40e+00,
5.37000e+00,7.40e+00,
5.38000e+00,7.40e+00,
5.39000e+00,7.40e+00,
5.40000e+00,7.40e+00,
5.41000e+00,7.40e+00,
5.42000e+00,7.40e+00,
5.43000e+00,7.40e+00,
5.44000e+00,7.40e+00,
5.45000e+00,7.40e+00,
5.46000e+00,7.40e+00,
5.47000e+00,7.40e+00,
5.48000e+00,7.40e+00,
5.49000e+00,7.40e+00,
5.50000e+00,7.40e+00,
5.51000e+00,7.40e+00,
5.52000e+00,7.40e+00,
5.53000e+00,7.40e+00,
5.54000e+00,7.40e+00,
5.55000e+00,7.40e+00,
5.56000e+00,7.40e+00,
5.57000e+00,7.40e+00,
5.58000e+00,7.40e+00,
5.59000e+00,7.40e+00,
5.60000e+00,7.40e+00,
5.61000e+00,7.40e+00,
5.62000e+00,7.40e+00,
5.63000e+00,7.40e+00,
5.64000e+00,7.40e+00,
5.65000e+00,7.40e+00,
5.66000e+00,7.40e+00,
5.67000e+00,7.40e+00,
5.68000e+00,7.40e+00,
5.69000e+00,7.40e+00,
5.70000e+00,7.40e+00,
5.71000e+00,7.40e+00,
5.72000e+00,7.40e+00,
5.73000e+00,7.40e+00,
5.74000e+00,7.40e+00,
5.75000e+00,7.40e+00,
5.76000e+00,7.40e+00,
5.77000e+00,7.40e+00,
5.78000e+00,7.40e+00,
5.79000e+00,7.40e+00,
5.80000e+00,7.40e+00,
5.81000e+00,7.40e+00,
5.82000e+00,7.40e+00,
5.83000e+00,7.40e+00,
5.84000e+00,7.40e+00,
5.85000e+00,7.40e+00,
5.86000e+00,7.40e+00,
5.87000e+00,7.40e+00,
5.88000e+00,7.40e+00,
5.89000e+00,7.40e+00,
5.90000e+00,7.40e+00,
5.91000e+00,7.40e+00,
5.92000e+00,7.40e+00,
5.93000e+00,7.40e+00,
5.94000e+00,7.40e+00,
5.95000e+00,7.40e+00,
5.96000e+00,7.40e+00,
5.97000e+00,7.40e+00,
5.98000e+00,7.40e+00,
5.99000e+00,7.40e+00,
